as_of_date,tee_date,course_name,avg_price,occ_percent,market_avg,market_min,market_max
2026-05-04,2026-05-04,blue_heron_golf_course,40.2,107.59,58.38,44.04,87.57
2026-05-04,2026-05-04,pinehurst_links_club,42.55,106.45,58.38,44.04,87.57
2026-05-04,2026-05-04,ironwood_golf_club,51.98,111.01,58.38,44.04,87.57
2026-05-04,2026-05-04,lakewood_golf_club,53.16,106.45,58.38,44.04,87.57
2026-05-04,2026-05-04,stonegate_golf_club_central,61.4,108.73,58.38,44.04,87.57
2026-05-04,2026-05-04,silver_ridge_golf_club_north,66.11,107.59,58.38,44.04,87.57
2026-05-04,2026-05-04,falcon_crest_golf_club,89.67,111.01,58.38,44.04,87.57
2026-05-04,2026-05-05,blue_heron_golf_course,36.66,14.04,57.24,40.5,85.38
2026-05-04,2026-05-05,pinehurst_links_club,41.38,10.62,57.24,40.5,85.38
2026-05-04,2026-05-05,ironwood_golf_club,51.98,-0.79,57.24,40.5,85.38
2026-05-04,2026-05-05,lakewood_golf_club,53.16,6.06,57.24,40.5,85.38
2026-05-04,2026-05-05,stonegate_golf_club_central,60.22,6.06,57.24,40.5,85.38
2026-05-04,2026-05-05,silver_ridge_golf_club_north,66.11,1.49,57.24,40.5,85.38
2026-05-04,2026-05-05,falcon_crest_golf_club,87.32,-0.79,57.24,40.5,85.38
2026-05-04,2026-05-06,blue_heron_golf_course,37.84,12.9,57.24,41.68,85.38
2026-05-04,2026-05-06,pinehurst_links_club,39.02,3.78,57.24,41.68,85.38
2026-05-04,2026-05-06,lakewood_golf_club,51.98,8.34,57.24,41.68,85.38
2026-05-04,2026-05-06,ironwood_golf_club,51.98,-0.79,57.24,41.68,85.38
2026-05-04,2026-05-06,stonegate_golf_club_central,62.58,-0.79,57.24,41.68,85.38
2026-05-04,2026-05-06,silver_ridge_golf_club_north,63.76,1.49,57.24,41.68,85.38
2026-05-04,2026-05-06,falcon_crest_golf_club,87.32,17.47,57.24,41.68,85.38
2026-05-04,2026-05-07,blue_heron_golf_course,40.2,35.72,65.18,44.04,108.45
2026-05-04,2026-05-07,pinehurst_links_club,40.2,28.87,65.18,44.04,108.45
2026-05-04,2026-05-07,silver_ridge_golf_club_north,60.22,-0.79,65.18,44.04,108.45
2026-05-04,2026-05-07,stonegate_golf_club_central,60.22,22.03,65.18,44.04,108.45
2026-05-04,2026-05-07,lakewood_golf_club,66.11,63.1,65.18,44.04,108.45
2026-05-04,2026-05-07,ironwood_golf_club,74.36,-0.79,65.18,44.04,108.45
2026-05-04,2026-05-07,falcon_crest_golf_club,112.06,3.78,65.18,44.04,108.45
2026-05-04,2026-05-08,pinehurst_links_club,34.31,101.89,65.18,38.14,101.86
2026-05-04,2026-05-08,blue_heron_golf_course,46.09,14.04,65.18,38.14,101.86
2026-05-04,2026-05-08,silver_ridge_golf_club_north,63.76,14.04,65.18,38.14,101.86
2026-05-04,2026-05-08,lakewood_golf_club,64.94,67.66,65.18,38.14,101.86
2026-05-04,2026-05-08,ironwood_golf_club,68.47,38.0,65.18,38.14,101.86
2026-05-04,2026-05-08,stonegate_golf_club_central,68.47,36.86,65.18,38.14,101.86
2026-05-04,2026-05-08,falcon_crest_golf_club,104.99,17.47,65.18,38.14,101.86
2026-05-04,2026-05-09,pinehurst_links_club,35.49,30.01,68.58,39.32,104.06
2026-05-04,2026-05-09,blue_heron_golf_course,48.44,11.76,68.58,39.32,104.06
2026-05-04,2026-05-09,lakewood_golf_club,63.76,10.62,68.58,39.32,104.06
2026-05-04,2026-05-09,ironwood_golf_club,72.0,0.35,68.58,39.32,104.06
