course_name,source_channel,tee_date,total_slots,occupied_slots,occupancy_percent,avg_minutes_available,average_price,min_price,max_price,market_min_price,market_avg_price,market_max_price,price_gap_percent,price_position_flag,demand_pressure,revenue_efficiency_score,as_of_date,avg_price,occ_percent,market_avg,market_min,market_max,avg_price_avg,Row,tee_time,brand_current_price,golfnow_current_price,teeoff_current_price,supremegolf_current_price,brand_availability_status,golfnow_availability_status,teeoff_availability_status,supremegolf_availability_status,overall_availability_status
silver_ridge_golf_club_north,supremegolf,2025-01-01,58.11,4.81,9.8,683.11,62.39,59.15,75.74,35.69,59.31,92.69,16.9,ABOVE_AVERAGE,LOW_DEMAND,2.92,2026-05-04,67.82,30.58,63.13,39.11,97.91,58.85,259.68,11:00 AM,55.73,62.21,65.81,64.76,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT_EVERYWHERE
falcon_crest_golf_club,supremegolf,2025-01-01,26.64,28.74,102.94,4195.44,95.51,93.71,131.16,40.81,70.45,108.48,70.05,ABOVE_AVERAGE,HIGH_DEMAND,4.21,2026-05-05,93.63,22.68,60.21,44.56,96.11,108.12,240.75,11:00 AM,56.55,57.6,57.48,68.78,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT_EVERYWHERE
lakewood_golf_club,golfnow,2025-01-01,67.59,65.66,118.7,7994.4,55.82,29.14,74.88,37.4,60.41,99.88,-1.0,ABOVE_AVERAGE,HIGH_DEMAND,4.64,2026-05-04,56.04,28.84,59.71,41.92,101.56,65.44,241.31,11:00 AM,51.33,60.68,65.36,63.84,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT_EVERYWHERE
pinehurst_links_club,brand,2025-01-01,40.15,35.27,122.51,7688.1,43.2,27.42,49.95,36.07,55.24,78.54,-30.45,BELOW_AVERAGE,HIGH_DEMAND,5.39,2026-05-10,39.19,107.21,55.47,44.66,84.75,45.01,250.8,11:00 AM,59.86,60.24,56.67,60.32,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT_EVERYWHERE
blue_heron_golf_course,brand,2025-01-01,67.69,67.38,105.4,8201.71,40.52,22.71,43.98,37.16,63.03,80.07,-38.2,BELOW_AVERAGE,HIGH_DEMAND,5.51,2026-05-07,39.72,4.84,55.03,45.3,94.09,37.33,253.05,11:00 AM,53.98,60.51,59.39,58.5,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT_EVERYWHERE
stonegate_golf_club_central,golfnow,2025-01-01,61.36,12.35,21.05,9473.73,60.29,40.23,68.9,39.48,59.21,94.06,7.8,ABOVE_AVERAGE,LOW_DEMAND,3.12,2026-05-08,61.89,-0.74,62.03,44.19,81.3,65.49,50.03,10:52 AM,63.89,54.45,57.97,60.45,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT_EVERYWHERE
ironwood_golf_club,golfnow,2025-01-01,63.39,-1.13,-1.76,3295.5,49.46,37.94,57.08,37.63,59.01,106.92,-27.67,BELOW_AVERAGE,LOW_DEMAND,2.82,2026-05-04,65.22,30.94,55.85,46.12,92.36,59.18,228.9,11:00 AM,54.8,60.33,55.57,62.83,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT_EVERYWHERE
silver_ridge_golf_club_north,teeoff,2025-01-02,78.07,67.67,118.56,7725.12,74.79,53.23,109.1,37.75,58.99,77.48,37.43,ABOVE_AVERAGE,HIGH_DEMAND,4.06,2026-05-04,57.46,31.57,61.11,40.44,90.18,64.46,255.29,11:00 AM,59.17,58.12,62.86,61.31,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT_EVERYWHERE
falcon_crest_golf_club,supremegolf,2025-01-02,56.55,26.21,44.32,7982.73,86.38,82.43,97.05,34.73,56.64,87.58,68.17,HIGHEST_IN_MARKET,LOW_DEMAND,3.3,2026-05-07,94.57,2.38,60.94,38.34,85.78,81.94,268.43,11:00 AM,52.83,55.43,64.82,65.65,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT_EVERYWHERE
lakewood_golf_club,supremegolf,2025-01-02,58.14,56.8,121.62,5931.67,58.8,33.16,67.8,36.86,65.76,100.41,2.69,ABOVE_AVERAGE,HIGH_DEMAND,5.13,2026-05-04,57.72,33.77,61.92,43.76,88.3,64.11,254.22,11:00 AM,52.1,60.37,60.28,62.89,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT_EVERYWHERE
pinehurst_links_club,golfnow,2025-01-02,38.83,42.91,106.59,7868.54,41.9,23.15,48.48,34.91,56.07,90.67,-29.29,BELOW_AVERAGE,HIGH_DEMAND,5.79,2026-05-04,61.43,31.71,61.24,39.94,99.68,59.86,248.79,11:00 AM,50.79,61.29,58.39,68.43,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT_EVERYWHERE
blue_heron_golf_course,teeoff,2025-01-02,47.64,42.37,107.27,3443.28,39.94,28.45,40.82,40.99,51.3,83.77,-38.22,BELOW_AVERAGE,HIGH_DEMAND,5.58,2026-05-06,37.84,102.99,62.07,46.83,86.48,41.6,254.81,11:00 AM,57.99,56.22,55.84,59.82,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT_EVERYWHERE
stonegate_golf_club_central,brand,2025-01-02,74.15,73.75,109.51,1907.21,55.84,35.68,58.86,36.44,59.66,87.85,-0.84,ABOVE_AVERAGE,HIGH_DEMAND,4.91,2026-05-06,59.77,117.15,62.57,41.39,83.35,63.91,301.37,3:00 PM,31.46,35.12,42.57,39.74,ADDED_AND_SOLD,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT_EVERYWHERE
